,Crime Count,population,Crime Rate,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
54,507,9426,53.7873965627,55.0,Hegewisch,3.3,17.1,9.6,19.2,42.9,22677,44.0
55,1800,34513,52.1542607134,56.0,Garfield Ridge,2.6,8.8,11.3,19.3,38.1,26353,32.0
56,986,13393,73.6205480475,57.0,Archer Heights,8.5,14.1,16.5,35.9,39.2,16134,67.0
57,2715,45368,59.8439428672,58.0,Brighton Park,14.4,23.6,13.9,45.1,39.3,13089,84.0
58,1066,15612,68.2808096336,59.0,McKinley Park,7.2,18.7,13.4,32.9,35.6,16954,61.0
59,1590,31977,49.7232385777,60.0,Bridgeport,4.5,18.9,13.7,22.2,31.3,22694,43.0
60,4848,44377,109.245780472,61.0,New City,11.9,29.0,23.0,41.5,38.9,12765,91.0
61,1033,18109,57.0434590535,62.0,West Elsdon,11.1,15.6,16.7,37.0,37.7,15754,69.0
62,2335,39894,58.5301047777,63.0,Gage Park,15.8,23.4,18.2,51.5,38.8,12171,93.0
63,926,23139,40.0190155149,64.0,Clearing,2.7,8.9,9.5,18.8,37.6,25113,29.0
64,2029,33355,60.8304602009,65.0,West Lawn,5.8,14.9,9.6,33.6,39.6,16907,56.0
65,6095,55628,109.56712447,66.0,Chicago Lawn,7.6,27.9,17.1,31.2,40.6,13231,80.0
66,7213,35505,203.154485284,67.0,West Englewood,4.8,34.4,35.9,26.3,40.7,11317,89.0
67,7006,30654,228.550923207,68.0,Englewood,3.8,46.6,28.0,28.5,42.5,11888,94.0
68,6669,32602,204.558002577,69.0,Greater Grand Crossing,3.6,29.6,23.0,16.5,41.0,17285,66.0
69,2283,41081,55.5731359996,70.0,Ashburn,4.0,10.4,11.7,17.7,36.9,23482,37.0
70,7748,48743,158.956157807,71.0,Auburn Gresham,4.0,27.6,28.3,18.5,41.9,15528,74.0
71,977,20034,48.7670959369,72.0,Beverly,0.9,5.1,8.0,3.7,40.5,39523,12.0
72,3114,26493,117.540482392,73.0,Washington Height,1.1,16.9,20.8,13.7,42.6,19713,48.0
73,609,19093,31.8965065731,74.0,Mount Greenwood,1.0,3.4,8.7,4.3,36.8,34381,16.0
74,2055,22544,91.1550745209,75.0,Morgan Park,0.8,13.2,15.0,10.8,40.3,27149,30.0
75,1621,12756,127.077453747,76.0,O'Hare,3.6,15.4,7.1,10.9,30.3,25828,24.0
76,2213,56521,39.1535889315,77.0,Edgewater,4.1,18.2,9.2,9.7,23.8,33385,19.0
